Channel Title,Channel Username,ID,Message,Date,Media Path
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2606,"#OBGYN_Ultrasound_Training@HOSSANA!
#የካቲት 2 ይጀምራል!
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
💥Place of Trainings-Selected Hospitals 

Call & Register now
   ☎️0941404444 Daye
   ☎️0965412222 Dr.Shalom
   ☎️0942404444 Tenbit
   ☎️0968670067  Selam
   ☎️0965410000  Ekram(A.A)
 
#N.B_We only have a few spots left!! #OB_Ultrasound_Is_Our_Accredited_Course 
🏃For more info .follow us on telegram :-
t.me/eahci",2025-01-31 12:31:56+00:00,photos/@EAHCI_2606.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2605,,2025-01-31 11:58:34+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2604,"#OBGYN_Ultrasound_Training@ADAMA!
#የካቲት 2 ይጀምራል!
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
💥Place of Trainings-Selected Hospitals 

Call & Register now
   ☎️0941404444 Daye
   ☎️0965412222 Dr.Shalom
   ☎️0942404444 Tenbit
   ☎️0968670067  Selam
   ☎️0965410000  Ekram(A.A)
 
#N.B_We only have a few spots left!! #OB_Ultrasound_Is_Our_Accredited_Course 
🏃For more info .follow us on telegram :-
t.me/eahci",2025-01-31 09:01:14+00:00,photos/@EAHCI_2604.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2603,"#የግርዛት_ስልጠና_ወላይታ_ሶዶ
#Circumcision_Skill_Training_@WOLAYITA_SODO (Adult & Neonates with Ring )  በቀለበትና ያለቀለበት ➥   ከ የካቲት 2 ጀምሮ ይሰጣል። (15CEU CPD & Skill)
🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶
👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 
👉አዘጋጅ-Ethio-American  Health Consultancy & CPD Center.
👉ሰልጣኞች-GP,HO,Nurse,Midwife

  📞0965412222 Dr shalom
  📞Daye 0941404444
  📞Ekram 0965410000
 📞Selam(A.A) 0968670067
  📞Tinbit(A.A) 0942404444
  📞Office 0941404444

👉ማስታወሻ :-GP,HO,Nurse,Midwif ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው  የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን።
👉Circumcision is our Patented & Accredited Course !
:-t.me/eahci",2025-01-30 12:42:18+00:00,photos/@EAHCI_2603.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2602,"#ENGLISH_LANGUAGE_TRAINING
👉Grammar
👉Vocabulary 
👉Pronunciation 
 Strarting from #March_3_የካቲት_24 ይጀምራል!
#HAWASSA📌

Contact us and register now!
📞0965412222
📞0941404444

ETHIO-AMERICAN TRAINING CENTER!",2025-01-30 12:17:14+00:00,photos/@EAHCI_2602.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2601,Congratulations to our beloved trainees on completing the Basic Obstetrics Ultrasound Training given at Gandhi Hospital.🎉🎊,2025-01-30 09:57:21+00:00,photos/@EAHCI_2601.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2600,"#የግርዛት_ስልጠና_Addis_Ababa 
#Circumcision_Skill_Training_@ADISSABABA (Adult & Neonates with Ring )  በቀለበትና ያለቀለበት ➥   ከ ጥር 25 ጀምሮ ይሰጣል። (15CEU CPD & Skill)
🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶
👉አዘጋጅ-Ethio-American  Health Consultancy & CPD Center.
👉ሰልጣኞች-GP,HO,Nurse,Midwife

  📞0965412222 Dr shalom
  📞Daye 0941404444
  📞Ekram(A.A) 0965410000
 📞Selam(A.A) 0968670067
  📞Tinbit(A.A) 0942404444
  📞Office 0941404444

👉ማስታወሻ :-GP,HO,Nurse,Midwif ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው  የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን።
👉Circumcision is our Patented & Accredited Course !
:-t.me/eahci",2025-01-29 17:00:02+00:00,photos/@EAHCI_2600.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2598," #💥CPD_አሁን_ይመዝገቡ #የሞያ_ፈቃድ_ለማሳደስ_CPD_ይመዝገቡ
#Title=Comprehensive HIV Prevention, Care and Treatment  Training 
🔶15CEU
👉 ከ ጥር 24 ጀምሮ ይሰጣል!
ለሁሉም ጤና ባለሞያዎች በሁሉም ክልሎችና ከተሞች ላላችሁ።
--------------------------------------------
📱0965410000(Ekram)
📱0965412222(Dr. Shalom)
📱0941404444(Daye)
📱0942404444(Tenbit)
📱0968670067(Selam)
📳0462124400
 Ethio-American CPD center & Health Consultancy.
🏃We Are Committed To Excellence In Medical Trainings ❗
For more info join our telegram channel                t.me/eahci",2025-01-29 12:34:11+00:00,photos/@EAHCI_2598.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2597,"#OBGYN_Ultrasound_Training@Hawassa!
#እሁድ_ይጀምራል(ጥር_25)
---------------------------------------------

✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
💥Place of Trainings-Selected Hospitals 

Call & Register now
   ☎️0941404444 Daye
   ☎️0965412222 Dr.Shalom
   ☎️0942404444 Tenbit
   ☎️0968670067  Selam
   ☎️0965410000  Ekram(A.A)
 
#N.B_We only have a few spots left!! #OB_Ultrasound_Is_Our_Accredited_Course 
🏃For more info .follow us on telegram :-
t.me/eahci",2025-01-27 11:01:51+00:00,photos/@EAHCI_2597.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,@EAHCI,2596,,2025-01-26 13:17:46+00:00,
